Player_Name,Hard_ELO,Clay_ELO,Grass_ELO,Player_age,Games_played
Mathieu Montcourt,1497.369291546223,1499.538078618535,1500.0,39.2,15
Rogerio Dutra Silva,1488.5816101622806,1482.5150495522594,1493.0124007291236,41.0,95
Brandon Perez,1495.9771926397925,1499.65,1500.0,24.6,3
Enrique Olivares,1500.3995394823096,1500.0,1500.0,37.0,1
Cristian Garin,1521.094347199474,1587.7106273559853,1592.914889236121,27.7,245
Martins Rocens,1495.0815343447805,1500.0,1500.0,23.8,2
Mauricio Echazu,1499.652504250326,1500.8882789325535,1500.0,37.0,30
Florent Serra,1484.7617470941098,1495.351015640784,1493.8809216011603,45.5,286
Didac Perez,1500.0,1497.1746004983233,1500.0,46.6,7
Evgeny Donskoy,1431.6926343551404,1483.764623822008,1477.6400464979213,34.4,172
Philippos Tsangaridis,1498.9254481514376,1499.6516177604565,1500.0,31.6,4
Elvis Henry,1500.0,1499.7501619004918,1500.0,47.9,1
Brian Hung,1500.3247184222985,1500.0,1500.0,38.8,1
Andrew Carlson,1499.5233836169593,1500.0,1500.0,46.9,1
Gvidas Sabeckis,1499.6745084146457,1499.6749470622942,1500.0,39.9,2
Tzvetan Mihov,1499.6496463551516,1500.0,1500.0,33.0,1
Juan Andres Gomez,1499.7498541692376,1500.25,1500.0,36.7,2
Karim Maamoun,1498.9747210332891,1500.071568579932,1500.0,44.2,18
Nick Hardt,1499.4716693557318,1500.0,1500.0,23.5,7
Tunde Segodo,1500.0,1499.575,1500.0,29.1,1
Herbert Wiltschnig,1500.0,1499.148516053835,1500.0,50.6,4
Jaime Faria,1500.0,1500.0,1500.0,20.6,1
Jun Chao Xu,1499.379332560974,1500.0,1500.0,36.0,1
Mikhail Ledovskikh,1497.7473663307574,1499.2018417506779,1498.0836320115998,44.7,14
Andrei Medvedev,1497.1508984946136,1502.2582072813761,1498.376852708695,49.7,65
Marco Mirnegg,1500.0,1499.473668522861,1499.77540571615,41.8,2
Adel Al Shatti,1499.875,1500.0,1500.0,51.4,1
Sarvar Ikramov,1499.190935765983,1500.0249676110195,1500.0,39.0,8
Christopher Oconnell,1493.5917810233395,1463.1800941209672,1532.9524887352154,29.7,98
Edward Corrie,1500.0,1500.0,1499.269828029833,36.3,1
