,Round_64,Round_32,Round_16,Round_8,Round_4,Round_2,Runner_up,Champion
Ryan Peniston,0.5244,0.129,0.069,0.0266,0.0082,0.0036,0.0012,0.0012
Dominic Thiem,0.1676,0.082,0.0444,0.0178,0.0062,0.0034,0.0004,0.0004
Juan Manuel Cerundolo,0.2028,0.0838,0.0412,0.0174,0.007,0.002,0.0002,0.0002
Miomir Kecmanovic,0.5294,0.1632,0.1032,0.0544,0.0274,0.0084,0.0028,0.0028
Daniel Altmaier,0.405,0.1696,0.032,0.0098,0.0044,0.001,0.0,0.0
Daniel Evans,0.5706,0.3102,0.0884,0.0354,0.0128,0.0016,0.0006,0.0006
Yoshihito Nishioka,0.4492,0.233,0.0734,0.0228,0.0082,0.0022,0.0006,0.0006
Dominik Koepfer,0.4728,0.2052,0.0632,0.018,0.004,0.0002,0.0,0.0
Alex Molcan,0.517,0.1952,0.1082,0.0364,0.016,0.0042,0.0008,0.0008
Yannick Hanfmann,0.2552,0.1062,0.0528,0.0184,0.0082,0.002,0.0004,0.0004
Borna Coric,0.6186,0.3336,0.1756,0.0782,0.0266,0.007,0.0022,0.0022
Benjamin Bonzi,0.4742,0.2326,0.1092,0.0362,0.0096,0.0022,0.0006,0.0006
Richard Gasquet,0.4516,0.201,0.0962,0.0332,0.0076,0.0018,0.0,0.0
Roberto Bautista Agut,0.557,0.3184,0.1796,0.0722,0.0262,0.0076,0.0012,0.0012
Radu Albot,0.3228,0.1506,0.0404,0.0158,0.0026,0.0002,0.0,0.0
Lloyd Harris,0.5234,0.2218,0.066,0.0266,0.0064,0.0014,0.0004,0.0004
Constant Lestienne,0.5128,0.1484,0.0686,0.0356,0.0104,0.0026,0.0012,0.0012
Laurent Lokoli,0.228,0.113,0.0568,0.027,0.008,0.0016,0.0006,0.0006
Max Purcell,0.204,0.0978,0.0508,0.0176,0.006,0.002,0.0008,0.0008
Luca Van Assche,0.5706,0.1674,0.0808,0.0294,0.0068,0.0022,0.0006,0.0006
Sebastian Baez,0.5126,0.2524,0.0706,0.0228,0.0044,0.0012,0.0002,0.0002
Fabian Marozsan,0.5376,0.2712,0.09,0.036,0.0092,0.0026,0.0008,0.0008
Mackenzie Mcdonald,0.429,0.213,0.0716,0.0268,0.006,0.0018,0.0,0.0
Enzo Couacaud,0.4282,0.184,0.0578,0.02,0.0048,0.0018,0.0002,0.0002
Borna Gojo,0.548,0.1648,0.0802,0.03,0.0074,0.0024,0.0012,0.0012
Felix Auger Aliassime,0.7684,0.5976,0.45,0.2786,0.1232,0.0692,0.0302,0.0302
Juan Pablo Varillas,0.4554,0.2338,0.0998,0.024,0.008,0.0024,0.001,0.001
John Isner,0.562,0.2688,0.1116,0.021,0.0068,0.0018,0.0006,0.0006
Dusan Lajovic,0.3558,0.0946,0.0318,0.0046,0.0014,0.0002,0.0,0.0
Albert Ramos,0.2392,0.1122,0.0448,0.0078,0.0018,0.0002,0.0,0.0
Bernabe Zapata Miralles,0.5282,0.257,0.045,0.0182,0.004,0.001,0.0002,0.0002
Emil Ruusuvuori,0.6464,0.3844,0.0748,0.0342,0.0132,0.0052,0.0016,0.0016
Brandon Nakashima,0.6946,0.1454,0.0936,0.0502,0.0184,0.0072,0.002,0.002
Pedro Cachin,0.121,0.0554,0.0282,0.0126,0.0034,0.001,0.0004,0.0004
