Player_Name,Hard_mean,Clay_mean,Grass_mean,Hard_variance,Clay_variance,Grass_variance,Player_age
Christian Lindell,24.999969773721002,24.9999741892414,24.999975094649958,8.332650049411592,8.332439065058884,8.332628497993635,31.3
Christian Sigsgaard,24.98706378700478,24.98818593726016,24.986354571830585,8.360412044053335,8.367120590880665,8.382197950458098,27.4
Christoffer Konigsfeldt,24.99984143474469,24.999873147795753,24.999873147795753,8.3318962932684,8.33217703461472,8.33217703461472,33.7
Christophe Tholl,24.999716471239267,24.99977215272509,24.999772721761936,8.333294016346992,8.333304506578155,8.33329936453664,28.1
Christopher Diaz Figueroa,24.99999520636366,24.999996458374355,24.999996295439118,8.332581588042732,8.33272034374785,8.332723085816358,32.8
Christopher Eubanks,24.922002581813437,24.938132234705513,24.938794946273966,7.380380254793591,7.558091079347045,7.545455305274792,27.0
Christopher Oconnell,24.74850072109729,24.757207604935104,24.766179022426513,7.916262907270854,7.749923389392219,7.753641460660045,28.8
Christopher Rungkat,25.000961451733783,25.00076916138703,25.00076916138703,8.322581040385689,8.324724762429941,8.324724762429941,33.1
Chuhan Wang,24.999998069935955,24.999998455948763,24.999998455948763,8.333510606016137,8.333468484563326,8.333468484563326,32.0
Chun Hsin Tseng,24.660716340295995,24.699100865766,24.700104562028802,7.369410674788014,7.5226169849457865,7.378584324901107,22.1
Chun Hun Wong,24.99972268610566,24.999778148884523,24.999778148884523,8.330492862047553,8.331054251807407,8.331054251807407,27.4
Clay Thompson,24.99999287216668,24.99999287216668,24.99999109020835,8.333343878724286,8.333343878724286,8.333354848405358,31.1
Clement Chidekh,25.0,25.0,25.0,8.3333,8.3333,8.3333,21.6
Cole Gromley,24.998640150724793,24.998912120579835,24.998912120579835,8.347528490355518,8.344682792284415,8.344682792284415,23.5
Coleman Wong,25.003826384267317,25.003061107413853,25.003061107413853,8.37157904784858,8.36403341354299,8.36403341354299,19.2
Collin Altamirano,24.999003981883224,24.99920318550658,24.99920318550658,8.344529866745496,8.342283893396397,8.342283893396397,27.7
Conor Gannon,25.0,25.0,25.0,8.3333,8.3333,8.3333,21.2
Constant Lestienne,25.05990267257322,25.04738640620811,25.047684035013923,7.904507000198375,7.99220951635612,7.990746652855461,30.8
Constantinos Ioannides,24.999998063517907,24.99999757939738,24.999998063517907,8.333320568218408,8.333325710273009,8.333320568218408,27.8
Corentin Moutet,25.166175565752294,25.10805254049375,25.11645598022692,7.098704329216525,7.286577210122373,7.347873858757503,24.1
Courtney John Lock,24.999966729329586,24.999973383463672,24.999973383463672,8.333249334321206,8.333259467965105,8.333259467965105,26.3
Cristian Garin,25.102330665315097,25.159411509930973,25.162410317552126,3.9656822870010005,4.2737052673706035,4.268527865570889,26.8
Cristian Rodriguez,25.000130170294792,25.000104136235837,25.000104136235837,8.334703733343186,8.334422986674548,8.334422986674548,32.6
Dac Tien Nguyen,24.99997970740431,24.99998376592345,24.99998376592345,8.333110025681782,8.333148020545426,8.333148020545426,24.5
Dalibor Svrcina,25.0,25.0,25.0,8.3333,8.3333,8.3333,20.2
Damir Dzumhur,24.826019726733705,24.852324392499536,24.85699486728093,7.608634811760843,7.710126505582624,7.721647169682894,30.9
Danai Udomchoke,24.999991371168278,24.999993096934624,24.999993096934624,8.33321130610084,8.333229044874944,8.333229044874944,42.5
Dane Sweeny,25.003586647945777,25.00286931835662,25.00286931835662,8.279693197779098,8.290544007128908,8.290544007128908,22.6
Daniel Altmaier,24.522401975410443,24.544673518877897,24.56284738563591,5.724003336775474,5.758042292482278,5.750454553441277,24.6
Daniel Azar,25.0,25.0,25.0,8.3333,8.3333,8.3333,18.5
Daniel Brands,24.998873059413185,24.998804711186434,24.998702013139344,8.34337270708143,8.340458492782508,8.340397178910342,35.5
Daniel Cox,24.999973751462353,24.999973751462353,24.999967189327943,8.333256120273756,8.333256120273756,8.333245149936069,32.7
Daniel Cukierman,24.989357965562835,24.99184442581088,24.991645507277205,8.426473456965484,8.405239349512609,8.40666962762009,28.1
Daniel Dutra Da Silva,24.98287281157724,24.97859101447155,24.98287281157724,8.10613828306816,8.0493478538352,8.10613828306816,35.0
Daniel Elahi Galan,25.06611807752769,25.048626970190796,25.067655988629692,7.525810685876622,7.754382933528098,7.775627876636705,26.7
Daniel Evans,25.2076167838927,25.114526206733846,25.125884330696376,4.579378140668277,5.305773221259375,5.083693618115248,32.9
Daniel Garza,24.99998574187506,24.999988593500053,24.999988593500053,8.333136933359697,8.33316954723791,8.33316954723791,37.8
Daniel Gimeno Traver,24.99888967620909,24.998844704229093,24.998949689851788,8.33375048706735,8.334986445375701,8.333936491544529,39.7
Daniel Glancy,24.999979341613553,24.999983473290843,24.999983473290843,8.333176447510539,8.333201157935314,8.333201157935314,34.2
Daniel Kosakowski,24.99999219113261,24.99999375290609,24.99999375290609,8.333320568119676,8.33331645449574,8.33331645449574,31.0
Daniel Masur,24.980070834067035,24.979997845426073,24.975286074041183,8.397422519699104,8.39754155833028,8.411984538106305,31.6
Daniel Michalski,25.000141167792922,25.000112934234338,25.000112934234338,8.334703733343186,8.334422986674548,8.334422986674548,27.9
Daniel Munoz de la Nava,24.999218985472243,24.9991204610706,24.999261976241264,8.3309475862879,8.330160030794406,8.330858919257176,41.1
Daniel Rincon,25.0,25.0,25.0,8.3333,8.3333,8.3333,20.2
Daniel Smethurst,24.999984676362676,24.999984676362676,24.999980845453347,8.333135455844632,8.333135455844632,8.33309431980579,32.6
Daniel Windahl,24.99995824611146,24.99996659688917,24.99996659688917,8.333603952878075,8.333543161886729,8.333543161886729,26.6
Daniels Tens,24.992386609092517,24.99390928727401,24.99390928727401,8.404739056612184,8.390451245289748,8.390451245289748,18.0
Daniil Glinka,24.998934759288456,24.999147807430766,24.999147807430766,8.354902640506026,8.350579878675083,8.350579878675083,24.3
Daniil Medvedev,26.46151297266524,26.22363662922987,26.24579381258422,0.9141345993488622,1.2803148534932582,1.2652204458264762,27.1
Daniil Ostapenkov,24.998908302755698,24.999032269624625,24.9990846988357,8.374771358520544,8.382973985072512,8.373802203658082,20.3
Danilo Petrovic,24.991083329167147,24.99066048314931,24.991886138807317,8.369530218899932,8.35994592504606,8.361253171588192,32.2
Danylo Kalenichenko,24.999982963455455,24.99998637076436,24.99998637076436,8.333451972285799,8.33342157782864,8.33342157782864,29.6
Darian King,25.017790301187564,25.014254201738446,25.014242001300445,8.355747522460776,8.354256148701845,8.352556566356657,32.3
Darko Bojanovic,24.99988717560948,24.99990974048758,24.99990974048758,8.334703614011152,8.334422891208922,8.334422891208922,26.5
David Agung Susanto,25.000597522209084,25.000478372315886,25.00047817534443,8.34024578638848,8.33898106393098,8.338912171789381,35.1
David Ferrer,24.99884508297222,24.99931120364955,24.99877792298378,8.218635621395212,8.228811912077507,8.23514787398379,41.0
David Goffin,24.895311414210482,25.00549963299594,24.99379842682011,6.879903795732532,7.137682001585374,6.938806679986604,32.3
David Guez,24.999887337881898,24.999909870305522,24.999909870305522,8.333551902227837,8.33350152255609,8.33350152255609,40.1
David Souto,24.999874697401687,24.99983989946647,24.999873154163627,8.332621886170958,8.33245445479566,8.332622818322351,34.0
