Player_Name,Hard_ELO,Clay_ELO,Grass_ELO,Player_age
Juncheng Shang,1458.367964017172,1461.7205416644456,1464.483780302941,18.1
Tallon Griekspoor,1463.581499461506,1481.5577466292293,1490.4348008711881,26.7
Brandon Perez,1495.223371922428,1495.7770632496754,1496.0001934098236,23.6
Minh Quan Do,1499.999675006282,1499.9997400050256,1499.9997400050256,39.2
Austin Krajicek,1483.4252177231874,1483.959763671366,1483.2597305066517,34.0
Artem Sitak,1496.7899595460028,1497.4319676368023,1497.4319676368023,36.9
August Holmgren,1500.7378020043727,1500.5902416034983,1500.5902416034983,26.7
Federico Zeballos,1492.9210958171366,1492.997288163469,1493.7415039913801,38.2
Rudolf Molleker,1470.219304040918,1470.4410755531628,1468.7704996257423,26.7
Guilherme Clezar,1482.235987376642,1480.8362044430005,1483.58764080873,30.1
Christoffer Konigsfeldt,1498.88793165449,1499.110345323592,1499.110345323592,33.7
Santiago Fa Rodriguez Taverna,1489.2118371139095,1486.5147963923869,1489.2118371139095,23.8
Karl Friberg,1500.0,1500.0,1500.0,24.5
Marsel Ilhan,1462.013788674565,1461.4501906830358,1464.6423823630726,39.5
Mate Valkusz,1493.3339214700386,1491.6674018375484,1493.3339214700386,25.2
Louk Sorensen,1500.0033201843853,1500.0041502304816,1500.0033201843853,38.4
Marcelo Demoliner,1499.8895800729806,1499.9116640583843,1499.9116640583843,42.6
Abdulhameed Alshatti,1499.3285951743603,1499.4628761394883,1499.4628761394883,27.6
Grigor Dimitrov,1652.0062998005421,1633.7731585404233,1611.496723349831,31.9
Khumoun Sultanov,1498.3841616776028,1498.3464445955462,1498.8692352416138,29.2
Mikelis Libietis,1498.4601958011585,1498.6049978349795,1498.6956416160613,31.5
Yasitha De Silva,1496.6075264152707,1495.7594080190886,1496.6075264152707,27.6
Rio Noguchi,1503.1681909859908,1502.5345527887928,1502.5345527887928,24.7
Roberto Cid,1494.8092378123022,1495.0982718954742,1495.5144487590117,30.0
Li Tu,1458.3216844705819,1466.6573475764656,1466.6573475764656,27.3
Alastair Gray,1497.2672618514464,1497.2672618514464,1496.584077314308,25.0
Brian Baker,1475.3094386841976,1476.7967734350793,1477.0237276688385,38.1
Bu Yunchaokete,1496.9117216607892,1496.1396520759865,1496.9117216607892,21.7
Mateus Alves,1500.0,1500.0,1500.0,22.0
Lamine Ouahab,1500.5448360346165,1501.1930466642607,1500.7723923106123,38.1
Liam Caruana,1489.9325936663831,1491.9460749331067,1491.9460749331067,25.7
Lucas Miedler,1489.3083190018933,1489.3294454288782,1490.5056730803428,27.1
Luciano Ramazzini,1498.5086259693644,1498.8069007754916,1498.8069007754916,29.2
Marc Polmans,1431.3633518925578,1449.0225208553368,1447.9607324595179,26.3
Justin Lunn,1499.179536274234,1499.343629019387,1499.343629019387,31.6
Benjamin Mitchell,1497.4090742269927,1497.9272593815942,1497.9272593815942,30.0
Franz Luna Lavidalie,1495.9699253654696,1496.7759402923757,1496.7759402923757,25.4
Santiago Maresca,1499.8471219641647,1499.657818313231,1499.7799734566202,29.4
Lofo Ramiaramanana,1500.453589766447,1500.3628718131577,1500.3628718131577,33.7
Kamil Majchrzak,1493.315977565612,1480.252928630605,1480.7493089029467,27.1
Andres Artunedo Martinavarro,1498.650709981441,1498.9205679851527,1498.9205679851527,29.3
Tommy Paul,1722.2336980015382,1669.1745245987365,1696.6978160003619,25.8
Alex Rybakov,1500.0,1500.0,1500.0,26.0
Tennys Sandgren,1429.000991053412,1423.4406995277855,1447.3683311160464,32.6
Ulises Blanch,1486.207871262141,1488.966297009713,1488.966297009713,25.4
Collin Altamirano,1491.0747935940628,1492.8598348752503,1492.8598348752503,27.7
Alexandros Jakupovic,1500.268822050959,1500.3360275636987,1500.268822050959,41.2
Elmer Moller,1500.0588808636103,1500.047104690888,1500.047104690888,20.1
Titouan Droguet,1500.0,1500.0,1500.0,22.2
Emilio Gomez,1415.7112672774965,1425.7631319767895,1429.5441774463495,31.3
Wilfredo Gonzalez,1499.9276683498722,1499.942134679898,1499.942134679898,30.1
Enrique Lopez Perez,1498.1153626474563,1497.6442033093203,1498.1153626474563,32.1
Hong Chung,1499.510174286988,1499.510174286988,1499.3877178587352,30.1
Jad Ballout,1498.5197171041968,1498.6519296786594,1498.7429541257138,26.3
Daniel Cukierman,1492.3761350745494,1494.263873418742,1494.0622259970185,28.1
Michael Lammer,1498.869673683099,1499.0957389464793,1499.0957389464793,40.9
Matteo Martineau,1500.0,1500.0,1500.0,24.8
Dzmitry Zhyrmont,1498.0890630624851,1497.9930145647759,1498.2587011676715,36.9
Tobias Kamke,1471.5411290173154,1475.3519140793796,1476.6366431549336,39.2
Arthur Fils,1485.5272547756365,1488.4218038205092,1488.4218038205092,18.9
Leandro Riedi,1478.0843537318278,1472.6054421647848,1478.0843537318278,21.1
Blake Mott,1484.5401527179386,1487.6321221743506,1487.6321221743506,26.7
Alejandro Gomez Gb42,1499.9689605292504,1499.9751684234004,1499.9751684234004,31.9
Jeremy Chardy,1592.2278233224995,1564.5409564485533,1565.1272514711802,36.1
Christian Lindell,1494.5988271624342,1494.275003953276,1495.055036051427,31.3
Cole Gromley,1493.895055714899,1495.116044571919,1495.116044571919,23.5
Mattia Bellucci,1500.0,1500.0,1500.0,21.6
Oleksii Krutykh,1500.0,1500.0,1500.0,23.5
Sanam Singh,1499.6639724363013,1499.731177949041,1499.731177949041,35.2
Tristan Schoolkate,1492.2067145841754,1493.7653716673403,1493.7653716673403,21.9
Lukasz Kubot,1488.5818864870864,1489.832474017134,1490.8992218832645,40.6
Zsombor Piros,1500.9856902021709,1498.9532536469228,1499.9728639329307,24.0
Bernard Tomic,1482.1563569668167,1461.2188546486602,1479.9466898062485,30.3
Viacheslav Bielinskyi,1496.574189352096,1497.2593514816767,1497.2593514816767,19.7
Ryan Harrison,1481.668510479005,1473.4949118355185,1473.6696411320986,31.6
Martin Fischer,1499.1933812248853,1498.6898884965567,1499.0592309873075,37.7
Alberto Emmanuel Alvarado Larin,1491.8913893875308,1493.5131115100244,1493.5131115100244,28.2
