,Round_64,Round_32,Round_16,Round_8,Round_4,Round_2,Runner_up,Champion
Pedro Martinez,0.3446,0.0638,0.0318,0.003,0.0004,0.0002,0.0002,0.0002
David Goffin,0.2712,0.1592,0.0914,0.0058,0.0012,0.0002,0.0,0.0
Constant Lestienne,0.0902,0.048,0.0234,0.006,0.0002,0.0,0.0,0.0
Patrick Kypson,0.514,0.1144,0.0578,0.0136,0.0006,0.0,0.0,0.0
Albert Ramos,0.3882,0.1936,0.0394,0.009,0.0008,0.0,0.0,0.0
Daniel Evans,0.389,0.2032,0.0832,0.0214,0.0048,0.0004,0.0,0.0
Ben Shelton,0.4682,0.257,0.0538,0.0184,0.0012,0.0,0.0,0.0
Adrian Mannarino,0.479,0.174,0.0246,0.004,0.0004,0.0,0.0,0.0
Arthur Cazaux,0.1902,0.0204,0.0096,0.002,0.0,0.0,0.0,0.0
Laslo Djere,0.126,0.0726,0.0434,0.0116,0.001,0.0,0.0,0.0
Christopher Eubanks,0.0488,0.0178,0.0052,0.0024,0.0002,0.0,0.0,0.0
Sebastian Baez,0.4298,0.072,0.0374,0.0102,0.002,0.0004,0.0002,0.0002
Giovanni Mpetshi Perricard,0.3656,0.1456,0.0292,0.0098,0.0026,0.0004,0.0,0.0
Miomir Kecmanovic,0.6336,0.442,0.1556,0.073,0.0302,0.0086,0.0012,0.0012
Jaume Munar,0.3148,0.229,0.0512,0.0116,0.0026,0.0008,0.0,0.0
Thiago Monteiro,0.3398,0.1458,0.0252,0.0034,0.0,0.0,0.0,0.0
Richard Gasquet,0.3602,0.0886,0.0428,0.0116,0.0036,0.0002,0.0,0.0
Michael Mmoh,0.0598,0.0202,0.0072,0.0014,0.0002,0.0,0.0,0.0
Dominic Stricker,0.2414,0.1692,0.0952,0.0302,0.0066,0.002,0.0006,0.0006
Hugo Dellien,0.3264,0.0652,0.022,0.0018,0.0,0.0,0.0,0.0
Hamad Medjedovic,0.339,0.2056,0.075,0.011,0.0026,0.0004,0.0,0.0
Jan Lennard Struff,0.3076,0.1286,0.0352,0.0056,0.0012,0.0,0.0,0.0
Botic Van De Zandschulp,0.5348,0.4302,0.1274,0.0806,0.029,0.0076,0.0008,0.0008
Dusan Lajovic,0.2448,0.0654,0.0018,0.0006,0.0,0.0,0.0,0.0
Alexander Bublik,0.5228,0.065,0.0354,0.0178,0.0056,0.002,0.0004,0.0004
Elias Ymer,0.0356,0.0146,0.004,0.0014,0.0002,0.0,0.0,0.0
Alexandre Muller,0.0528,0.0272,0.0104,0.0008,0.0,0.0,0.0,0.0
Marc Andrea Huesler,0.5098,0.0888,0.0388,0.0074,0.0026,0.0006,0.0,0.0
Gregoire Barrere,0.2804,0.084,0.008,0.001,0.0002,0.0,0.0,0.0
Timofey Skatov,0.2424,0.0776,0.0156,0.0012,0.0004,0.0,0.0,0.0
Lloyd Harris,0.0244,0.0066,0.002,0.0006,0.0002,0.0,0.0,0.0
Hugo Gaston,0.2396,0.0292,0.0092,0.0012,0.0,0.0,0.0,0.0
Alexei Popyrin,0.3986,0.0714,0.0028,0.0002,0.0,0.0,0.0,0.0
Filip Krajinovic,0.3068,0.2484,0.0256,0.006,0.002,0.0006,0.0,0.0
Federico Coria,0.1688,0.0692,0.0176,0.0064,0.0006,0.0,0.0,0.0
Dominic Thiem,0.5406,0.2634,0.145,0.0798,0.0196,0.008,0.0008,0.0008
Jack Draper,0.6978,0.249,0.1422,0.071,0.0238,0.0078,0.0008,0.0008
Ilya Ivashka,0.2428,0.1342,0.0498,0.0202,0.0046,0.001,0.0,0.0
J J Wolf,0.4066,0.292,0.123,0.0438,0.0088,0.0034,0.0006,0.0006
Jordan Thompson,0.4114,0.0778,0.0242,0.0054,0.001,0.0006,0.0,0.0
Quentin Halys,0.2818,0.0376,0.0116,0.0014,0.0,0.0,0.0,0.0
Daniil Medvedev,0.7052,0.5842,0.4786,0.3244,0.1482,0.0872,0.021,0.021
